IsHTTPS;HasFavicon;HasCopyrightInfo;HasSocialNet;IsDomainIP;HasObfuscation;HasTitle;Robots;HasDescription;IsResponsive;HasExternalFormSubmit;HasSubmitButton;HasHiddenFields;HasPasswordField;Bank;Pay;Crypto
1;0;1;1;0;1;0;1;1;1;1;0;1;1;0;1;1
1;0;1;0;0;0;0;1;1;0;0;1;1;0;1;1;0
1;1;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1
0;1;1;1;1;1;1;1;0;0;1;0;1;0;1;1;0
0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;0
0;1;1;1;1;1;1;0;0;1;0;0;1;1;1;0;0
0;1;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0
0;1;1;0;0;1;1;1;1;0;0;0;1;1;0;1;0
1;1;1;0;1;1;1;0;0;1;0;1;1;0;1;1;1
1;0;1;1;0;1;1;1;1;1;1;1;0;0;0;1;1
1;0;1;0;1;0;1;0;0;0;1;0;1;1;1;1;0
1;1;1;0;0;1;1;0;1;0;0;1;0;0;0;1;1
0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1
1;0;1;0;1;0;1;1;0;0;1;0;0;1;0;1;0
0;1;0;1;0;1;1;0;0;0;1;1;1;0;0;1;1
1;1;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0
0;0;0;1;0;0;1;0;0;1;0;1;0;0;1;0;0
1;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0
1;1;0;0;1;0;0;1;1;1;0;1;1;0;0;0;0
0;1;1;1;1;1;1;0;0;0;1;0;1;0;1;1;0
0;1;1;1;0;1;1;0;0;0;1;0;1;1;1;1;0
1;0;0;1;0;1;1;0;1;1;0;1;0;0;1;1;1
1;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;1
0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;1;0
1;0;0;1;1;0;0;1;0;0;0;1;1;1;0;0;0
1;1;0;1;1;1;0;0;0;0;1;1;0;1;1;1;1
0;0;1;0;1;0;0;0;0;0;1;1;0;1;0;0;0
0;1;0;1;1;0;0;0;1;1;0;1;1;1;1;1;1
1;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;0
1;1;0;1;0;0;0;1;0;1;0;0;1;1;1;1;1
0;0;1;1;1;1;1;0;0;1;0;0;1;0;0;0;1
0;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1
1;0;0;0;0;0;0;1;0;1;1;1;0;0;0;1;0
1;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0
1;1;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0
0;1;0;1;1;0;1;1;1;0;0;0;0;0;0;1;0
0;0;1;1;1;0;1;0;0;0;0;0;1;0;1;1;1
1;1;0;0;0;1;0;1;0;1;1;1;0;0;0;0;0
1;0;1;0;1;0;1;0;1;1;1;1;1;1;1;0;1
1;1;0;0;0;1;1;0;1;0;0;0;0;1;1;0;1
1;0;1;0;1;0;0;1;1;1;0;0;1;0;0;1;0
1;0;0;0;0;0;0;1;1;0;1;1;0;1;1;1;0
1;0;0;0;0;1;1;1;1;0;1;1;0;1;1;0;1
1;1;1;1;0;1;0;1;1;0;1;1;1;0;1;0;0
0;1;0;0;1;1;1;1;1;1;1;1;0;0;0;0;1
